name, left, middle, right, latitude, longitude,time
NDA,9.00359153748,9.67018604279,9.59713459015,53.095823333,-7.91273,07:34:28
NDA,8.98076295853,9.26840305328,9.63366031647,53.095823333,-7.91273,07:34:29
NDA,8.84835720062,9.25014019012,10.0902318954,53.095823333,-7.91273,07:34:30
NDA,8.11784267426,9.78432893753,9.53778028488,53.095823333,-7.91273,07:34:31
NDA,8.71138572693,9.7067117691,7.69779682159,53.095823333,-7.91273,07:34:32
NDA,7.54712820053,9.57887172699,9.53778028488,53.095823333,-7.91273,07:34:33
NDA,8.54245424271,9.46016311646,9.035551548,53.095823333,-7.91273,07:34:33
NDA,9.30949449539,9.72954034805,9.72954034805,53.095823333,-7.91273,07:34:34
NDA,8.73421430588,8.83009433746,9.49668884277,53.095823333,-7.91273,07:34:35
NDA,8.1406712532,9.05838012695,8.71595144272,53.095823333,-7.91273,07:34:36
